2023-12-07 10:14:11,352 |main                 |CatalinaContainer             |I| Creating context [assetmaint]
2023-12-07 10:14:11,353 |main                 |CatalinaContainer             |I| Creating context [ordermgr-js]
2023-12-07 10:14:11,354 |main                 |CatalinaContainer             |I| Creating context [ofbizsetup]
2023-12-07 10:14:11,354 |main                 |CatalinaContainer             |I| Creating context [SalesForceAutomation]
2023-12-07 10:14:11,354 |main                 |CatalinaContainer             |I| Creating context [marketing]
2023-12-07 10:14:11,355 |main                 |CatalinaContainer             |I| Creating context [order]
2023-12-07 10:14:11,355 |main                 |CatalinaContainer             |I| Creating context [humanres]
2023-12-07 10:14:11,355 |main                 |CatalinaContainer             |I| Creating context [ap]
2023-12-07 10:14:11,356 |main                 |CatalinaContainer             |I| Creating context [ar]
2023-12-07 10:14:11,356 |main                 |CatalinaContainer             |I| Creating context [accounting]
2023-12-07 10:14:11,356 |main                 |CatalinaContainer             |I| Creating context [manufacturing]
2023-12-07 10:14:11,357 |main                 |CatalinaContainer             |I| Creating context [facility]
2023-12-07 10:14:11,357 |main                 |CatalinaContainer             |I| Creating context [catalog]
2023-12-07 10:14:11,357 |main                 |CatalinaContainer             |I| Creating context [ical]
